sample	PC1	PC2	PC3	PC4	PC5	label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_reads	detected_taxa	log_total_reads
LV7008886714	15.4721356270742	-42.9214927202519	21.4852987481952	-15.3937682558814	24.6115661532099	LV7008886714	GeoB25202_R1		4.5	692	129.27	8.77194686709375	uk37_alkenone	3.23	360661611	64.2	217864971	64.8	8.77194686709375	0.692	3774170	505	6.576821573273
LV7008886726	3.32220506165402	-46.9592505411201	21.875268368897	-12.5410381973749	25.3876037822868	LV7008886726	GeoB25202_R2		4.5	692	204.6	8.77194686709375	uk37_alkenone	3.23	210895995	63.5	141214842	64.2	8.77194686709375	0.692	2423502	450	6.38444356166251
LV3003046953	15.9279871041107	-51.2013361198722	35.3166280005305	-5.51850047203154	27.021769674254	LV3003046953	ST8		10	1521.5	82.74		""	3.203925	268907517	82.4	244179416	82.6	7.82527505425364	1.5215	2200496	519	6.34252078081338
LV7008886690	-36.4176508461848	33.6576378636662	-1.04797511809737	-45.6003587140211	20.6116708695184	LV7008886690	GeoB25202_R1		20.5	2324	49.49	6.90941715213889	uk37_alkenone	3.21564	490228857	43.4	46279822	44.7	6.90941715213889	2.324	656787	302	5.81742520930415
LV7008886702	21.8596122422552	17.3764551288058	-2.5893610510444	-49.0457337718894	30.709724785373	LV7008886702	GeoB25202_R2		20.5	2324	70.74	6.90941715213889	uk37_alkenone	3.21564	331982111	48.7	72925388	49.9	6.90941715213889	2.324	1035788	600	6.01527129453217
LV3003046939	5.82527623102196	-61.670282901012	40.20885364704	2.15905487094226	35.9005554656349	LV3003046939	ST8		15	2420	137.77		""	3.2262	174832149	79.3	145219212	79.8	6.89400787736814	2.42	1520501	541	6.18198699573197
LV3003047045	3.2203243105645	-59.6834137233009	40.9732921795478	4.07832720076333	33.6961515262743	LV3003047045	ST8		20	3586.5	111.57		""	3.295865	151675055	80.4	128523596	81.5	6.70676913757569	3.5865	1001311	507	6.00056942090177
LV3003047028	-55.1821696613935	22.0845217239269	29.7349845951322	8.81278454826171	-7.87441476926476	LV3003047028	ST8		25	4753	124.79		""	3.26988	3059207	78.3	2878411	79.3	6.51953039778323	4.753	11886	38	4.07507226270612
LV7001898100	10.9835927628912	-60.9586656790389	35.1123475367886	-4.49453885453116	28.5760154833225	LV7001898100	ST13		5	5659	187.66		""	3.30613	172884713	66.3	153315655	67.1	6.37410536713431	5.659	3291174	562	6.51735097543132
LV3003047013	-13.6293130786901	-56.6530152798946	40.0027761836546	7.98655891459539	34.7649807001551	LV3003047013	ST8		30	5885	131.96	6.21497035449252	mgca_jonkers_2013	3.32195	106947849	79.8	86684502	81.7	6.33782936611152	5.885	607702	477	5.7836913803003
LV7001898088	43.5840959037505	-29.2603964487073	29.6955080513783	15.4852435158381	13.1903527820591	LV7001898088	ST13		10	6031	202.91		""	3.33124	117014401	60.1	89334062	61.3	6.31439442739767	6.031	2576046	734	6.41095378246667
LV7001898076	53.4148530952096	26.9455323371861	54.1421797720595	-32.4468486340207	-4.1230629306601	LV7001898076	ST13		15	6429	184.76		""	3.34716	115346098	55.3	78619492	56	6.25051014241062	6.429	2366636	1083	6.37413164999221
LV7001898064	31.939925891871	17.2554388811475	8.88813918631283	-46.8075837398875	23.1766022591592	LV7001898064	ST13		20	6808	117.6		""	3.36232	104626976	54	53467555	54.8	6.18967560972194	6.808	953475	669	5.97930976586787
LV3003046995	-1.84818543371033	-53.9195978962502	40.9183503521156	3.67944641059095	30.10997678414	LV3003046995	ST8		35	6970.5	117	5.81821372224369	mgca_jonkers_2013	3.36882	178414482	82.8	152189789	85.2	6.16359220190688	6.9705	703131	482	5.84703686341278
LV7008886751	-1.0045562596873	26.6315480730506	-16.1418824805942	-54.9076624547808	24.4006589279835	LV7008886751	GeoB25202_R1		38.5	7133.5	84.76	6.13742853745238	uk37_alkenone	3.376675	167350731	43.1	40174994	44.4	6.13742853745238	7.1335	555536	552	5.74471298921875
LV7008886763	-30.7873533476363	31.9579374769124	-2.25308876558636	-39.8330956882056	19.6484883298256	LV7008886763	GeoB25202_R2		38.5	7133.5	37.96	6.13742853745238	uk37_alkenone	3.376675	153803085	44.3	35210092	46.4	6.13742853745238	7.1335	290240	323	5.46275876170626
LV3003061546	-14.2144038310581	33.1713941479199	-6.54561512215158	-62.1100531526996	33.5257884486308	LV3003061546	ST13		25	7197	267.14		""	3.37985	57808931	62.4	41212328	62.7	6.14534613060279	7.197	662119	461	5.82093670638072
LV3003061533	7.51411819112851	28.727183588324	-7.17124618073382	-61.3850170719385	34.0441070052183	LV3003061533	ST13		30	7912	290.8		""	3.4156	103171906	59.1	63404336	59.5	6.23449698261132	7.912	723360	576	5.85935509007479
LV3003046980	-11.7156231236543	-59.9777722156753	45.905576410381	6.70782947489803	34.2824819073003	LV3003046980	ST8		40	8056	95.39	5.42145708999487	mgca_jonkers_2013	3.41776	84644758	80.9	70313255	82.7	6.25245183951933	8.056	576373	540	5.76070438173389
LV3003061518	56.9752723849455	12.6963463869905	38.3387820809927	-16.5609093151699	-18.7118010044563	LV3003061518	ST13		35	9804	303.98		""	3.49256	114542623	68.5	78968770	69.5	6.47040385254158	9.804	1323453	878	6.12170885089362
LV3003046952	-11.5500355452743	-58.6579415498424	49.6200278130231	21.723152318685	34.8511697464417	LV3003046952	ST8		50	10260	116.29	4.62794382549722	mgca_jonkers_2013	3.5408	88430474	83.4	60192917	86	6.52726089941695	10.26	575975	591	5.7604043874428
LV3003046938	-0.991612714272259	-57.6720075065144	48.9099272929443	30.6914952875128	33.5847568201015	LV3003046938	ST8		55	11169	92.71	4.63006993265698	mgca_jonkers_2013	3.65408	135351707	83.8	73358025	85.5	6.64060093364877	11.169	749210	658	5.87460414511034
LV3003061506	12.904393118271	18.6781414943502	-6.80324809805235	-34.1280485544339	25.8729566164288	LV3003061506	ST13		40	11950	164.07		""	3.904	63589346	59.2	48096504	60.6	6.73798109507347	11.95	484905	467	5.68565755790552
LV3003047044	16.3705889717493	15.4329174384024	-7.6240962262736	34.1926731757041	17.3917185639709	LV3003047044	ST8		60	12078	46.49	4.63219603981674	mgca_jonkers_2013	3.93092	63682406	81.2	26806847	83.3	6.75394096788059	12.078	330929	539	5.51973613930819
LV3003047027	12.6886769522506	-49.0012993377894	44.2262824013736	26.7851640915386	27.2652707459688	LV3003047027	ST8		65	12877	149.32	5.04178088906654	mgca_jonkers_2013	4.04278	166139455	84.4	112662581	86.9	6.85356548641879	12.877	728928	717	5.86268522871595
LV3003047010	-7.77601280271567	-61.4085251869239	52.3658096392035	14.4333214716539	34.3511240073797	LV3003047010	ST8		70	13676	131.81	5.45136573831635	mgca_jonkers_2013	4.20872	124044083	83.1	98890535	85.9	6.95319000495699	13.676	684865	586	5.83560560630494
LV3003061492	62.6994880803044	33.6301324730064	51.1692325808623	-25.6174741752966	-21.0108716764911	LV3003061492	ST13		45	14437	376.09		""	4.37177	119240881	67.3	80494467	68	7.04807643625558	14.437	2256543	1061	6.35344380617919
LV3003046994	-18.4751936032335	32.7033959229167	-14.3659633855587	-51.3299447522203	31.6157039573298	LV3003046994	ST8		79.5	15549	87.72	4.99039754502124	mgca_jonkers_2013	4.63274	71148178	57.2	33076881	57.9	7.18672783126745	15.549	615826	497	5.78945872596691
LV7008886727	57.929182639213	31.4414190543567	39.5228067808035	-28.1100818357909	-14.7853715600003	LV7008886727	GeoB25202_R1		59.5	16437.5	79.12	7.29751179212	uk37_alkenone	4.806875	181407355	47.9	57424152	48.6	7.29751179212	16.4375	1206819	945	6.08164249889909
LV7008886739	60.6540576170003	27.9876976801199	49.4466534038187	-15.2543901492529	-27.7557359584718	LV7008886739	GeoB25202_R2		59.5	16437.5	82.56	7.29751179212	uk37_alkenone	4.806875	201287627	49.7	67761404	50.8	7.29751179212	16.4375	1759696	1047	6.24543789363425
LV3003046979	17.6398366085238	-10.8516855043233	2.07754509389866	-7.54431393663316	20.1146403597568	LV3003046979	ST8		84.5	16461	131.92	4.74778270644487	mgca_jonkers_2013	4.80993	62932113	71.5	35885630	73.7	7.29869936048704	16.461	557079	708	5.74591756692192
LV3003061477	67.1037404676205	24.087388213934	53.8316260160346	-13.6751343861098	-26.0794257681619	LV3003061477	ST13		50	16726	301.74		""	4.84438	125495327	67.8	84929726	70.8	7.31209108888136	16.726	2265796	978	6.35522099743865
LV3003046966	43.0576079832421	37.8192205736439	-1.29952715217053	16.8169345987349	1.99129485093277	LV3003046966	ST8		89.5	17373	104.95	4.50516786786849	mgca_jonkers_2013	4.93222	64053262	73.4	33174625	75	7.34478712009314	17.373	797010	787	5.90146431538148
LV3003046950	52.7442137470492	29.0507941656449	16.8503651130629	6.77978710247074	-8.48033313808059	LV3003046950	ST8		94.5	18099	104.24	2.39521562696755	mgca_jonkers_2013	5.01406	54550611	72.2	30319286	73.7	7.38147540241116	18.099	827508	835	5.91777272586659
LV3003046937	41.9649656571928	15.6199242105088	-1.83631293562244	-4.88768809756557	5.00159708709264	LV3003046937	ST8		99.5	18598	100.16	2.93302273038462	mgca_jonkers_2013	4.98412	37032447	66.6	19341245	67.9	7.40669227965178	18.598	550640	592	5.74086854525352
LV3003047041	58.4511948560683	33.7620402494109	24.0829833163135	-35.2090219726958	-18.0612619821941	LV3003047041	ST8		104.5	19097	105.88	3.47082983380169	mgca_jonkers_2013	4.96291	92918951	73.6	51583899	75.3	7.4319091568924	19.097	1504623	945	6.1774279848954
LV3003061572	65.8492464794171	27.958255072103	44.1101706660639	-19.9017096975948	-27.0873956942783	LV3003061572	ST13		55	19099	341.81		""	4.96297	148847098	75.5	75948836	100.4	7.43201022654066	19.099	1903659	943	6.27958938453724
LV3003047026	17.0484671434014	35.7443909090748	-1.39019993984541	-76.9214024470676	24.1866515751413	LV3003047026	ST8		109.5	19565	12.35	2.88473711426933	mgca_jonkers_2013	4.97695	948154669	61.9	126124116	64.1	7.455559454585	19.565	1714271	849	6.23407973166362
