threshold	method	site	taxon	sites_present	assignment_entropy	consensus_module	module_prob_1	module_prob_2	module_prob_3	module_prob_4	module_prob_5	module_prob_6	module_prob_7	module_prob_8	module_prob_9	module_prob_10	module_prob_11	module_prob_12	module_prob_13	module_prob_14	module_prob_15	module_prob_16	module_prob_17
prev_5	mi_aracne	ST8	S__3300001683_28	4	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300006311_3	4	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300020187_18	4	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300020263_16	4	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300020300_16	4	3.904311250362617e-24	M11	0.0	0.0	7.509065267697748e-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.3379267074418186e-25	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300020303_2	2	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300020317_19	2	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300020330_9	4	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300020364_17	3	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300020389_47	2	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300020444_12	2	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300024058_12	4	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300024058_15	4	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300024058_22	4	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300024060_27	4	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300024353_106	3	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300024429_35	1	2.8317368030548096	M14	0.057099390774965286	0.06354892253875732	0.05823895335197449	0.057099390774965286	0.06606277823448181	0.057099390774965286	0.057099390774965286	0.057099390774965286	0.059959184378385544	0.057099390774965286	0.057099390774965286	0.057099390774965286	0.057099390774965286	0.06699743121862411	0.057099390774965286	0.057099390774965286	0.057099390774965286
prev_5	mi_aracne	ST8	S__3300024431_33	4	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300024431_52	2	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300024516_13	4	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_5	mi_aracne	ST8	S__3300024516_18	4	-0.0	M11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
